Date,Open,High,Low,Close,Adj Close,Volume
2017-09-01,941.130005,959.786011,909.700012,959.109985,959.109985,28053800
2017-10-01,959.979980,1048.390015,947.840027,1016.640015,1016.640015,31779700
2017-11-01,1017.210022,1062.375000,1013.010010,1021.409973,1021.409973,24265500
2017-12-01,1015.799988,1078.489990,988.280029,1046.400024,1046.400024,28163700
2018-01-01,1048.339966,1186.890015,1045.229980,1169.939941,1169.939941,28734500
2018-02-01,1162.609985,1174.000000,992.559998,1104.729980,1104.729980,42384100
2018-03-01,1107.869995,1177.050049,980.640015,1031.790039,1031.790039,45353300
2018-04-01,1022.820007,1094.165039,990.369995,1017.330017,1017.330017,41715900
2018-05-01,1013.659973,1110.750000,1006.289978,1084.989990,1084.989990,31800500
2018-06-01,1099.349976,1186.286011,1096.010010,1115.650024,1115.650024,32076800
2018-07-01,1099.000000,1273.890015,1093.800049,1217.260010,1217.260010,31940100
2018-08-01,1228.000000,1233.469971,1204.790039,1223.709961,1223.709961,4188100
2018-08-03,1229.619995,1230.000000,1215.060059,1223.709961,1223.709961,1070021
